Data;IBOVam;POUPam;IBOVamAcc;POUPamAcc
1998.04;-2,251799766;0,97;1895155,4;600986,9791
1998.05;-15,68039736;0,96;1597987,503;606756,4541
1998.06;-1,706276661;0,99;1570721,415;612763,343
1998.07;10,63236206;1,05;1737726,203;619197,3581
1998.08;-39,55356309;0,88;1050393,573;624646,2949
1998.09;1,869592089;0,95;1070031,648;630580,4347
1998.10;6,886091309;1,39;1143715,004;639345,5027
1998.11;22,47765006;1,12;1400795,261;646506,1724
1998.12;-21,39960607;1,25;1101030,593;654587,4995
1999.01;20,44516509;1,02;1326138,115;661264,292
1999.02;9,044180639;1,33;1446076,442;670059,1071
1999.03;20,04489338;1,67;1735940,923;681249,0942
1999.04;6,114435303;1,11;1842083,908;688810,9591
1999.05;-2,299559471;1,08;1799724,093;696250,1175
1999.06;4,842636847;0,81;1886878,195;701889,7434
1999.07;-10,1926716;0,79;1694554,897;707434,6724
1999.08;1,17804808;0,8;1714517,568;713094,1498
1999.09;5,130632336;0,77;1802483,161;718584,9747
1999.10;5,348460292;0,73;1898888,257;723830,6451
1999.11;17,76068376;0,7;2236143,796;728897,4596
1999.12;24,04557991;0,8;2773837,539;734728,6393
2000.01;-4,113275993;0,72;2659741,945;740018,6855
2000.02;7,76177691;0,73;2866185,182;745420,8219
2000.03;0,906002265;0,73;2892152,884;750862,3939
2000.04;-12,81144781;0,63;2521626,227;755592,8269
2000.05;-3,739460642;0,71;2427331,007;760957,536
2000.06;11,84140144;0,72;2714761,015;766436,4303
2000.07;-1,632091828;0,66;2670453,623;771494,9107
2000.08;5,421174183;0,7;2815223,565;776895,3751
2000.09;-8,174795342;0,6;2585084,8;781556,7473
2000.10;-6,661225515;0,63;2412886,472;786480,5548
2000.11;-10,6275644;0,62;2156455,408;791356,7343
2000.12;14,84157447;0,6;2476507,343;796104,8747
2001.01;15,81361819;0,64;2868132,759;801199,9459
2001.02;-10,07808963;0,54;2579079,769;805526,4256
2001.03;-9,143540369;0,67;2343260,569;810923,4526
2001.04;3,317634021;0,66;2421001,379;816275,5474
2001.05;-1,796607897;0,68;2377505,477;821826,2212
2001.06;-0,614376408;0,65;2362898,644;827168,0916
2001.07;-5,529225908;0,75;2232248,64;833371,8523
2001.08;-6,645339538;0,85;2083908,139;840455,513
2001.09;-17,1728972;0,66;1726040,736;846002,5194
2001.10;6,854724965;0,79;1844356,082;852685,9393
2001.11;13,78915875;0,69;2098677,27;858569,4723
2001.12;4,995746655;0,7;2203521,869;864579,4586
2002.01;-6,304780143;0,76;2064594,66;871150,2625
2002.02;10,31365459;0,62;2277529,822;876551,3941
2002.03;-5,551200741;0,68;2151099,569;882511,9436
2002.04;-1,275086766;0,74;2123671,184;889042,532
2002.05;-1,711883836;0,71;2087316,4;895354,734
2002.06;-13,38931654;0,66;1807839;901264,0752
2002.07;-12,36197145;0,77;1584354,459;908203,8086
2002.08;6,35115755;0,75;1684979,307;915015,3371
2002.09;-16,95241765;0,73;1399334,577;921694,9491
2002.10;17,91927627;0,78;1650085,206;928884,1697
2002.11;3,353988394;0,77;1705428,872;936036,5778
2002.12;7,232584697;0,86;1828775,46;944086,4924
2003.01;-2,902023429;0,99;1775703,968;953432,9487
2003.02;-6,041495293;0,91;1668424,896;962109,1885
2003.03;9,659533074;0,83;1829586,951;970094,6948
2003.04;11,38117626;0,92;2037815,466;979019,5659
2003.05;6,889136668;0,97;2178203,359;988516,0557
2003.06;-3,345503316;0,92;2105331,493;997610,4034
2003.07;4,61763799;1,05;2202548,08;1008085,313
2003.08;11,81195196;0,91;2462712,001;1017258,889
2003.09;5,509424015;0,84;2598393,248;1025803,864
2003.10;12,31730169;0,82;2918445,183;1034215,455
2003.11;12,2400178;0,68;3275663,393;1041248,12
2003.12;10,17192687;0,69;3608861,478;1048432,733
2004.01;-1,731426516;0,63;3546376,693;1055037,859
2004.02;-0,439339161;0,55;3530796,072;1060840,567
2004.03;1,778901402;0,68;3593605,453;1068054,283
2004.04;-11,44883028;0,59;3182179,663;1074355,803
2004.05;-0,321313816;0,66;3171954,881;1081446,551
2004.06;8,207122391;0,68;3432281,1;1088800,388
2004.07;5,617552487;0,7;3625091,292;1096421,991
2004.08;2,090795129;0,7;3700884,524;1104096,945
2004.09;1,938341446;0,67;3772620,303;1111494,394
2004.10;-0,830286083;0,61;3741296,762;1118274,51
2004.11;9,005726184;0,62;4078227,704;1125207,812
2004.12;4,250238777;0,74;4251562,119;1133534,35
2005.01;-8,505115285;0,69;3889961,859;1141355,737
2005.02;17,40236983;0,6;4566907,408;1148203,871
2005.03;-5,43373965;0,76;4318753,55;1156930,221
2005.04;-6,640360767;0,7;4031972,733;1165028,732
2005.05;1,465201465;0,75;4091049,257;1173766,448
2005.06;-0,618875709;0,8;4065730,747;1183156,579
2005.07;3,955929903;0,76;4226568,205;1192148,569
2005.08;7,687581599;0,85;4551489,085;1202281,832
2005.09;12,61945514;0,77;5125862,208;1211539,402
2005.10;-4,401101859;0,71;4900267,791;1220141,332
2005.11;5,70662074;0,69;5179907,489;1228560,307
2005.12;4,822032836;0,73;5429684,329;1237528,797
2006.01;14,72724555;0,73;6229327,273;1246562,757
2006.02;0,594028451;0,57;6266331,249;1253668,165
2006.03;-1,706811707;0,71;6159376,774;1262569,209
2006.04;6,355563753;0,59;6550839,891;1270018,368
2006.05;-9,496320888;0,69;5928751,115;1278781,494
2006.06;0,273747605;0,69;5944980,929;1287605,087
2006.07;1,22031122;0,68;6017528,198;1296360,801
2006.08;-2,27;0,74;5880930,308;1305953,871
2006.09;0,59;0,65;5915627,797;1314442,571
2006.10;7,71;0,69;6371722,7;1323512,225
2006.11;6,79;0,63;6804362,671;1331850,352
2006.12;6,06;0,65;7216707,049;1340507,379
2007.01;0,38;0,72;7244130,536;1350159,032
2007.02;-1,67;0,57;7123153,556;1357854,939
2007.03;4,35;0,69;7433010,736;1367224,138
2007.04;6,88;0,63;7944401,874;1375837,65
2007.05;6,76;0,67;8481443,441;1385055,762
2007.06;4,06;0,6;8825790,045;1393366,097
2007.07;-0,38;0,65;8792252,042;1402422,977
2007.08;0,83;0,65;8865227,734;1411538,726
2007.09;10,66;0,54;9810261,011;1419161,035
2007.10;8,02;0,61;10597043,94;1427817,917
2007.11;-3,53;0,56;10222968,29;1435813,698
2007.12;1,4;0,56;10366089,85;1443854,254
2008.01;-6,88;0,6;9652902,867;1452517,38
2008.02;6,72;0,52;10301577,94;1460070,47
2008.03;-3,97;0,54;9892605,296;1467954,851
2008.04;11,31;0,6;11011458,95;1476762,58
2008.05;6,96;0,57;11777856,5;1485180,127
2008.06;-10,44;0,62;10548248,28;1494388,243
2008.07;-8,47;0,6924;9654811,65;1504735,388
2008.08;-6,42;0,66;9034972,742;1514666,641
2008.09;-11,02;0,7;8039318,746;1525269,308
2008.10;-24,79;0,75;6046371,629;1536708,827
2008.11;-1,77;0,66;5939350,851;1546851,106
2008.12;2,6;0,72;6093773,973;1557988,434
2009.01;4,66;0,68;6377743,84;1568582,755
2009.02;-2,84;0,55;6196615,915;1577209,96
2009.03;7,18;0,64;6641532,938;1587304,104
2009.04;15,54;0,55;7673627,157;1596034,276
2009.05;12,49;0,55;8632063,188;1604812,465
2009.06;-3,26;0,57;8350657,928;1613959,896
2009.07;6,41;0,61;8885935,102;1623805,051
